Number,Station name,Latitude,Longitud
39033,DEGILBO RAIL STN,-25.483,152.000
39037,FAIRYMEAD SUGAR MILL,-24.791,152.359
39038,GATCOMBE HEAD,-23.883,151.383
39039,GAYNDAH POST OFFICE,-25.626,151.609
39040,GIN GIN POST OFFICE,-24.993,151.961
39041,GLADSTONE POST OFFICE,-23.833,151.250
39042,GLADYSVALE,-25.533,151.567
39043,GLENLANDS,-23.526,150.508
39045,GOODNIGHT SCRUB RES 169,-25.283,151.913
39046,GOODWOOD RAIL STN,-25.150,152.417
39048,GOOVIGEN,-24.146,150.287
39049,GRACEMERE - LUCAS ST,-23.459,150.456
39052,HUMPHERY RAIL SIDING,-25.600,151.483
39063,MILLAQUIN SUGAR,-24.850,152.367
39066,GAYNDAH AIRPORT,-25.617,151.616
39079,RAGLAN,-23.717,150.820
39081,RIDGELANDS,-23.250,150.283
39085,SANDY CAPE LIGHTHOUSE,-24.730,153.208
39089,THANGOOL AIRPORT,-24.494,150.571
39095,WATALGAN WINFIELD RD,-24.634,152.023
39096,WATERANGA,-25.356,151.817
39123,GLADSTONE RADAR,-23.855,151.263
39128,BUNDABERG AERO,-24.907,152.323
39135,BARGARA,-24.804,152.453
39142,WOODLEIGH,-24.814,149.989
39151,GONYELINKA,-24.808,150.220
39152,BIBARINGA,-24.497,150.671
39168,WOODGATE STORE,-25.102,152.560
39169,CULCRAGIE,-25.262,150.854
39174,BUNDABERG ASHFIELD RD,-24.850,152.398
39177,GLENWOOD,-25.696,150.965
39186,BINGERA SUGAR MILL,-24.930,152.198
39197,FIG TREE,-24.031,150.740
39205,WINGFIELD,-24.872,150.824
39211,GEIJERA,-25.023,151.257
39222,CANIA GORGE PARK,-24.662,150.963
39223,KOLONGA,-24.819,151.711
39225,GRACEDIEU,-24.711,151.671
39230,LANGMORN,-23.835,150.754
39244,SPRINGFIELD,-25.279,150.836
39255,SPRINGS,-24.166,151.513
39263,CALLIUNGAL STATION,-23.967,150.217
39278,GLENHAVEN,-24.839,150.744
39297,BUILYAN GUM STREET,-24.527,151.381
39326,GLADSTONE AIRPORT,-23.870,151.221
40005,ANDERLEIGH,-26.000,152.683
40016,BEENLEIGH POST OFFICE,-27.717,153.183
40021,BIGGENDEN POST OFFICE,-25.510,152.046
40027,BONGAREE BOWLS CLUB,-27.089,153.166
40029,WIDGEE STATION HILL,-26.190,152.427
40035,BURPENGARY ULMANN RD,-27.141,153.009
40040,CALOUNDRA SIGNAL STATION,-26.802,153.150
40042,CANUNGRA FINCH ROAD,-28.014,153.166
40043,CAPE MORETON LIGHTHOUSE,-27.031,153.466
40044,DARLINGTON,-28.250,153.083
40052,COOLANGATTA BOWLS COMP,-28.178,153.538
40061,COWAN COWAN SIGNAL STN,-27.133,153.367
40067,DOONGUL STATE FOREST,-25.527,152.317
40068,DOUBLE ISLAND POINT LIGHTHOUSE,-25.932,153.191
40072,ELGIN VALE FORESTRY,-26.440,152.196
40080,GLEN CAIRN,-28.262,153.018
40081,UNGOWA FOREST STATION,-25.500,153.000
40082,UNIVERSITY OF QUEENSLAND GATTON,-27.544,152.338
40083,GATTON ALLAN STREET,-27.543,152.282
40086,GOODGER STORE,-26.668,151.817
40087,GOOGA GOOGA CRK FOREST,-26.950,152.050
40089,GOOMBOORIAN,-26.056,152.789
40090,GOOMERI POST OFFICE,-26.182,152.069
40091,GRANDCHESTER SYMES ST,-27.660,152.468
40092,GUNDIAH RAILWAY STATION,-25.833,152.550
40093,GYMPIE,-26.183,152.641
40105,KANDANGA POST OFFICE,-26.387,152.676
40109,KIA ORA SANDY RIDGES,-26.518,152.014
40112,KINGAROY PRINCE STREET,-26.554,151.846
40117,LANDSBOROUGH POST OFFICE,-26.803,152.962
40122,GALLANGOWAN FORESTRY,-26.429,152.329
40124,MARBURG - WARREGO HIGHWAY,-27.567,152.605
40126,MARYBOROUGH,-25.513,152.715
40130,SPRINGLEA,-26.169,151.893
40134,MONTVILLE  CRAGLANDS,-26.699,152.904
40135,MOOGERAH DAM,-28.030,152.553
40143,MOUNT GRAVATT,-27.542,153.081
40151,MUNGAR JUNCTION,-25.605,152.589
40152,MURGON POST OFFICE,-26.242,151.942
40157,NAMBOUR BOWLING CLUB,-26.621,152.967
40158,NANANGO WILLS ST,-26.676,151.994
40159,NARANGBA RAILWAY STN,-27.200,152.967
40160,NERANG GILSTON RD,-28.009,153.317
40161,GYMPIE,-26.100,152.650
40180,MARGATE COLLINS ST,-27.252,153.101
40182,GREEN MOUNTAINS,-28.231,153.136
40190,SOUTHPORT RIDGEWAY AVE,-27.983,153.406
40192,SPRINGBROOK FORESTRY,-28.226,153.279
40193,STERLING CROSSING FOREST,-26.483,152.633
40196,TALLEBUDGERA GUINEAS CREEK ROAD,-28.140,153.429
40199,TARONG,-26.743,151.844
40201,THE GRANGE,-26.483,152.050
40205,TOOGOOLAWAH POST OFFICE,-27.088,152.376
40210,INSKIP POINT LIGHTHOUSE,-25.817,153.050
40212,EAGLE FARM RACECOURSE,-27.429,153.069
40214,BRISBANE REGIONAL OFFICE,-27.478,153.031
40215,BRISBANE BOTANICAL GARDENS,-27.483,153.033
40216,BRISBANE SHOW GROUNDS,-27.451,153.033
40222,KALINGA BOWLS CLUB,-27.412,153.046
40225,ENOGGERA RESERVOIR,-27.445,152.929
40226,GOODNA AMPOL,-27.608,152.898
40230,GOLD CREEK RESERVOIR,-27.461,152.881
40234,MORNINGSIDE,-27.500,153.100
40242,SANDGATE POST OFFICE,-27.323,153.070
40243,GRACEVILLE BOWLS CLUB,-27.517,152.983
40244,SUNNYBANK (GAGER ST),-27.578,153.058
40245,TOOWONG BOWLS CLUB,-27.493,152.993
40246,WARRAGAI,-26.554,151.416
40254,WOOLOOGA POST OFFICE,-26.059,152.386
40262,YENGARIE RAILWAY STATION,-25.567,152.617
40269,KARRAGARRA ISLAND,-27.639,153.378
40274,MOUNT GRAVATT BOWLS CLUB,-27.555,153.080
40277,NANANGO EAST FOREST 618,-26.660,152.071
40280,TAABINGA,-26.666,151.733
40288,COOLANGATTA AERO,-28.166,153.504
40301,GLENAVEN,-27.188,151.963
40304,KOORALGIN,-26.948,151.957
40308,MT GLORIOUS FAHEY RD,-27.334,152.772
40317,RANGE VIEW,-27.751,152.666
40318,KIRKLEAGH,-27.026,152.564
40319,ROCKY POINT SUGAR MILL,-27.735,153.327
40326,ASHGROVE BOWLS CLUB,-27.443,152.974
40338,GIGOOMGAN,-25.700,152.250
40365,WOOLOOGA,-26.053,152.392
40377,BRIGOODA,-26.258,151.411
40389,KANDANGA UPPER,-26.397,152.615
40390,TEDDINGTON WATERWORKS,-25.650,152.665
40396,MALENY DENNING RD,-26.778,152.803
40400,MOORANG,-27.907,152.474
40404,GLENAPP,-28.263,152.880
40406,BEENLEIGH BOWLS CLUB,-27.709,153.201
40412,TOOGOOM,-25.248,152.664
40418,MOGGILL VET RES FARM,-27.527,152.922
40421,SPRING BLUFF RAILWAY STN,-27.464,151.990
40430,URANGAN HIBISCUS ST,-25.282,152.899
40436,GATTON DAFF RESEARCH STN,-27.546,152.329
40454,GLENLOGAN FIELD STATION,-27.833,153.000
40477,MONOGORILBY,-26.050,151.050
40478,K'GARI EURONG,-25.505,153.129
40484,CURRIGEE,-27.888,153.423
40493,HOMELEIGH,-27.780,152.535
40509,SANDY GULLY,-27.133,152.333
40523,BOONAH BORDER GATE,-28.265,152.536
40524,LITTLE NERANG DAM,-28.144,153.286
40538,TABRAGALBA,-27.983,153.077
40547,MORETON SUGAR MILL,-26.627,152.957
40556,WEENS BRIDGE,-26.517,151.767
40583,WIDGEE,-28.271,153.074
40602,GILSTON STATE SCHOOL,-28.033,153.300
40612,GLEN ELGIN,-26.600,151.983
40670,GREYSTONLEA,-26.564,151.438
40693,HIGHVALE,-27.379,152.816
40717,COOLANGATTA,-28.168,153.505
40764,GOLD COAST SEAWAY,-27.939,153.428
40852,CANUNGRA LAND WARFARE CENTRE,-28.027,153.179
40854,LOGAN CITY WATER TREATMENT PLANT,-27.684,153.198
40886,MT BINGA,-27.009,151.985
40922,KINGAROY AIRPORT,-26.574,151.840
41003,BALGOWNIE WEST,-27.830,151.677
41007,BRIGALOW POST OFFICE,-26.844,150.789
41013,CANNING DOWNS,-28.226,152.065
41026,EAGLES NEST,-28.017,151.800
41029,AVINGTON,-26.599,150.900
41031,GEHAM STATE SCHOOL,-27.406,152.015
41034,GLENELG,-28.404,151.470
41035,GLENGALLAN,-28.100,152.100
41037,GOOMBUNGEE POST OFFICE,-27.307,151.851
41038,GOONDIWINDI POST OFFICE,-28.548,150.308
41039,GOWRIE JUNCTION,-27.500,151.900
41040,GREENMOUNT POST OFFICE,-27.787,151.905
41044,HERMITAGE,-28.206,152.100
41045,THE HIGHLANDS IRRIGATION,-28.400,152.300
41047,INGLEWOOD POST OFFICE,-28.415,151.083
41049,IRVINGDALE POST OFFICE,-27.200,151.517
41052,JINGI JINGI,-26.693,151.096
41059,KOGAN POST OFFICE,-27.050,150.767
41062,LAGUNA,-27.808,151.327
41072,MOUNT IRVING,-27.483,151.600
41080,PERANGA POST OFFICE,-27.146,151.695
41097,INGLEWOOD FOREST,-28.343,150.936
41106,UPPER FOREST SPRINGS,-27.965,152.075
41116,WALLANGARRA POST OFFICE,-28.924,151.931
41120,YANGAN POST OFFICE,-28.196,152.209
41131,COORANGA NORTH,-26.773,151.382
41139,WYAGA STATION,-28.167,150.648
41140,DALBY REGIONAL COUNCIL,-27.186,151.255
41166,SPRINGSIDE,-27.676,151.602
41176,WARWICK DRAGON ST,-28.225,152.026
41189,WARAHGAI,-28.237,151.535
41198,TINGHA,-27.146,151.303
41202,TALGAI,-27.020,151.711
41208,SPRING CREEK,-28.354,152.339
41217,RINGUINEA,-26.932,151.527
41223,THE GLEN,-28.293,151.945
41242,LITTLE RIDGE,-27.018,151.635
41251,PALGROVE,-28.431,151.823
41266,LILLINGSTONE,-27.071,151.373
41270,GUNBOWER,-27.824,151.580
41271,GRAHAMVILLE,-27.079,151.653
41274,GLENRAE,-28.314,152.114
41275,GLENROY MASSIE,-28.147,151.925
41276,GLENRIVE,-27.929,152.161
41277,GLENROY,-26.767,151.208
41285,FAIRLEIGH,-28.327,151.845
41315,BRIGALOW PARK,-28.106,151.569
41341,INGLEWOOD TOBACCO RES,-28.500,150.933
41349,MUNDAGAI,-27.734,150.579
41358,TIPTON BRIDGE,-27.442,151.257
41360,BENGALLA,-28.655,150.667
41370,YAGABURNE,-28.124,150.543
41383,MINGOOLA,-28.917,151.517
41391,WOODSPRING,-28.361,151.146
41395,GLENARADALE,-28.170,150.450
41396,GLEN APLIN,-28.733,151.883
41404,ELLANGOWAN,-27.958,151.664
41408,GLEN ETIVE,-28.499,151.232
41412,DUNGORM,-28.297,151.518
41416,AUGHAMORE,-27.574,151.727
41444,LONG CROSSING,-28.333,152.350
41451,THE HIGHLANDS,-28.400,152.250
41454,GIRRAWEEN NAT PARK,-28.834,151.937
41504,GLEN ROYAL,-27.736,151.412
41521,GOONDIWINDI AIRPORT,-28.521,150.326
41554,TALINGA,-27.779,150.458
42011,GLEN ALVON,-27.859,149.555
42012,GLENMORGAN POST OFFICE,-27.248,149.676
42019,KINGTON,-27.600,150.067
42030,BUNGUNYA SCHOOL,-28.428,149.653
42034,OURIGILLA,-27.169,150.002
42035,JACKSON COMMUNITY POSTAL  AGENCY,-26.644,149.628
42042,KILBEGGAN,-25.992,150.430
42075,BAWNDUGGIE,-26.160,150.839
42084,MOGUL DOWNS,-26.933,150.417
43004,BINDANGO,-26.483,148.483
43007,COOGOON,-27.083,148.600
43010,FROGMOOR,-27.078,149.115
43014,HORSESHOE LAGOON,-26.311,148.580
43021,MOOGA HILLS,-26.283,148.900
43027,COLLINGWOOD,-27.333,149.033
43034,ST GEORGE POST OFFICE,-28.036,148.581
43036,SUTTON GRANGE,-26.900,149.000
43043,YULEBA GARDEN ST,-26.613,149.388
43053,ST GEORGE (HUTT ST),-28.041,148.571
43055,GLENEARN,-27.533,148.884
43061,GUNNEWIN,-25.985,148.557
43077,GARRABARRA,-26.947,149.014
43109,ST GEORGE AIRPORT,-28.048,148.596
44001,ANGELLALA DOWNS HOMESTEAD,-26.018,147.030
44002,AUGATHELLA POST OFFICE,-25.796,146.586
44024,COONGOOLA,-27.650,145.900
44030,DIRRANBANDI HIGH SCHOOL,-28.576,148.230
44038,GLENORIE,-27.020,147.154
44039,GOWRIE STATION,-26.232,146.319
44040,GUMBARDO,-26.111,144.873
44041,GUNDARE,-25.972,146.619
44043,HUNGERFORD POLICE STATION,-29.000,144.400
44054,MULGA DOWNS,-28.806,147.120
44056,MUNGALLALA,-26.445,147.541
44064,SPRING CREEK,-27.269,145.380
44065,THURULGOONA,-28.711,145.923
44074,WODONGA,-26.583,147.417
44077,YARRAWONGA,-26.283,146.400
44084,BERALGA HOMESTEAD,-27.754,147.985
44099,BULLINDGIE,-28.383,147.917
44127,ASHLING,-27.388,147.286
44129,PINGINE,-26.421,144.999
44133,BOGARELLA,-25.375,147.107
44142,RUTHERGLEN,-27.684,147.698
44146,GLANWORTH,-25.450,145.750
44149,LANGLO DOWNS,-25.533,145.783
44151,GAMARREN,-28.326,146.511
44152,DINGWALL,-27.463,146.852
44166,YAMBURGAN,-28.513,148.402
44173,AUTHORINGA,-26.667,146.617
44181,HUNGERFORD (PAROO RIVER),-28.997,144.409
44194,NINDIGULLY,-28.355,148.821
45003,SOUTH COMONGIN,-26.901,144.339
45004,COMONGIN NORTH,-26.503,144.329
45006,EROMANGA - WEBBER ST,-26.669,143.270
45007,GOOMBIE,-26.113,144.133
45009,BALLERA GAS FIELD,-27.401,141.811
45011,MOUNT MARGARET,-26.899,143.338
45017,THARGOMINDAH POST OFFICE,-27.998,143.820
45018,THYLUNGRA STATION,-26.085,143.448
45024,NOCKATUNGA STATION,-27.722,142.713
45025,THARGOMINDAH AIRPORT,-27.987,143.815
45051,BULGROO STATION,-25.791,143.704
46002,WANAARING (BORRONA DOWNS),-29.766,143.114
46003,YANCO GLEN (CORONA HOMESTEAD),-31.287,141.444
46006,TIBOOBURRA (FORT GREY),-29.088,141.203
46007,GNALTA,-31.050,142.333
46008,GRASSMERE 1,-31.417,142.633
46015,BROKEN HILL  (LANGAWIRRA),-31.446,142.135
46027,BROKEN HILL (NUNTHERUNGIE),-30.800,142.483
46031,WHITE CLIFFS (PURNANGA),-30.450,143.317
46038,WHITE CLIFFS (TONGO),-30.492,143.746
46039,WANAARING (URISINO),-29.726,143.761
46047,WANAARING (YAMBA),-29.733,143.333
46051,WANAARING (KENDABOOKA),-29.485,143.523
46052,WANAARING (OWEN DOWNS),-29.409,143.381
46064,GOORIMPA,-30.300,144.000
46079,WANAARING (THURLOO DOWNS),-29.291,143.481
46085,YALPUNGA,-29.000,142.000
46091,FOWLERS GAP  RESEARCH  STATION,-31.087,141.702
46117,BROKEN HILL (WATERBAG),-31.484,142.332
47000,GUM LAKE (ALBEMARLE),-32.527,143.371
47010,BROKEN HILL (GLEN LYON),-31.883,142.500
47015,KINCHEGA,-32.450,142.400
47016,LAKE VICTORIA STORAGE,-34.044,141.268
47025,KINALUNG (MUNKA),-32.064,141.893
47029,POONCARIE MAIL AGENCY,-33.386,142.570
47035,THACKARINGA,-32.000,141.100
47043,MENINDEE (WEINTERIGA),-32.104,142.924
48000,BREWARRINA ABORIGINAL STATION,-30.000,147.000
48001,NEW ANGLEDOOL TELEPHONE OFFICE,-29.100,147.900
48003,BANGATE,-29.267,147.767
48004,BARRINGUN,-29.013,145.713
48006,ENNGONIA (BELALIE),-29.158,145.807
48011,GIRILAMBONE (BOOROOMUGGA),-31.308,146.439
48014,GOODOOGA (BRENDA),-29.030,147.313
48016,YANTABULLA (BRINDINGABBA),-29.083,144.900
48017,BULGOO,-31.800,145.600
48019,BUNGHILL TANK,-29.767,147.783
48020,MUNGINDI (BURRENBAH),-29.036,148.646
48022,MUNGINDI (CAMBO CAMBO),-29.081,148.600
48023,CANBELEGO THE HERMITAGE,-31.600,146.367
48024,CANBELEGO POST OFFICE,-31.557,146.322
48025,WEILMORINGLE (CARINGLE),-29.351,146.813
48034,COBAR (DOUBLE GATES),-31.689,145.483
48036,WALGETT (DUNGALEAR),-29.664,148.115
48039,ENNGONIA (SHEARER STREET),-29.317,145.847
48042,FORDS BRIDGE,-29.753,145.427
48043,GAMALALLY,-29.400,148.400
48044,GNOMERY,-29.167,147.267
48045,GONGOLGON POST OFFICE,-30.350,146.900
48046,GOODOOGA POST OFFICE,-29.114,147.454
48047,COLLARENEBRI (GOONDOOBLUIE),-29.151,148.625
48048,LIGHTNING RIDGE (GUISELEY),-29.750,147.917
48054,LIGHTNING RIDGE POST OFFICE,-29.428,147.981
48061,GOODOOGA (MOGILA),-29.048,147.506
48064,COOLABAH (BRANGLEBAR),-30.641,147.085
48070,SPRINGFIELD GOVERNMENT TANK,-31.533,145.433
48074,TILPA (TONGO ROAD),-30.937,144.416
48077,TOORANG,-30.150,146.683
48079,WANAARING POST OFFICE,-29.703,144.148
48082,WEILMORINGLE,-29.252,146.919
48084,GOODOOGA (WILLAWILLINGBAH),-29.419,147.348
48091,CORONGA PEAK,-30.730,146.250
48092,GLENARIFF,-30.800,146.600
48112,PARRAGUNDY,-29.000,144.800
48162,COBAR (KERGUNYAH),-31.167,146.133
48168,ANGLEDOOL (ANGLEDOOL STATION),-29.117,147.899
48194,FORDS BRIDGE (DELTA),-30.084,145.288
48198,COBAR WATER STORAGE,-31.462,145.791
48200,WANAARING (MOORLAND DOWNS),-29.440,144.392
48243,LIGHTNING RIDGE VISITOR INFORMATION CENT,-29.431,147.972
49004,EUABALONG (BOOBEROI),-33.080,146.573
49005,MOSSGIEL (BOONDARA),-33.283,144.717
49007,EUABOLONG (BROTHERONY),-33.100,146.667
49012,EUABALONG (LACHLAN ST),-33.109,146.474
49017,GLEN DEE,-34.300,143.900
49020,JUANBUNG,-34.200,143.917
49023,EUSTON ( BENINGTON),-34.452,142.911
49024,MAGENTA,-33.900,143.550
49029,MOSSGIEL (MOOLBONG),-33.350,144.933
49030,NYMAGEE (PYRAMID),-32.209,146.395
49031,MOSSGIEL POST OFFICE,-33.250,144.567
49032,MOUNT HOPE (CYPRESS GROVE),-32.834,145.877
49033,TRIDA (MURRUMBONG),-32.933,144.933
49034,BOOLIGAL (MYCUMBENE),-33.933,144.783
49036,NYMAGEE (KENMURE STATION),-32.064,146.319
49037,COBAR (PADDINGTON),-32.137,145.042
49052,TRIDA (COGIE),-33.000,145.050
49057,COBAR (TARINGO DOWNS),-32.241,145.553
49058,YATHONG,-32.650,145.600
49072,JUMPING SAND HILL WELL,-33.500,144.700
49075,MERUNGLE,-33.700,145.000
49076,NIMAGEE,-32.000,146.200
49080,NYMAGEE (WIRCHILLEBA),-32.500,146.100
49086,GILGUNNIA,-32.383,146.033
49105,NYMAGEE (BURTHONG),-32.519,146.282
49110,EUSTON (PRUNGLE),-34.243,142.995
49117,NYMAGEE (BALOWRA),-32.248,146.486
49118,BOOLIGAL (TOMS LAKE),-33.707,144.767
50000,NARROMINE (ALAGALA OLD),-32.300,147.700
50002,GOONUMBLA (AVONDALE),-32.917,148.093
50004,BOGAN GATE POST OFFICE,-33.107,147.801
50005,BOLAGAMY,-33.800,146.967
50009,BULGANDRAMINE,-32.600,148.100
50013,CONDOBOLIN (RINGWOOD),-32.900,147.100
50014,CONDOBOLIN RETIREMENT VILLAGE,-33.082,147.152
50016,GOONUMBLA (CORADGERY),-32.974,148.063
50017,WEST WYALONG AIRPORT AWS,-33.938,147.196
50020,WARROO (GEERON),-33.288,147.536
50025,MOUNT DERRIWONG,-33.000,147.400
50028,TRUNDLE  (MURRUMBOGIE),-32.902,147.522
50035,TOTTENHAM (UMANG ST),-32.243,147.355
50036,TRUNDLE (LONG ST),-32.922,147.703
50038,TULLINGA,-32.800,146.800
50040,UNGARIE POST OFFICE,-33.639,146.974
50044,WEST WYALONG POST OFFICE,-33.924,147.205
50045,YALGOGRIN NORTH (ROLOMA),-33.847,146.827
50047,TALLEBUNG (VERMONT HILL),-32.567,146.750
50049,BURRAWANG SOUTH STATION,-33.200,147.500
50052,CONDOBOLIN AG RESEARCH STN,-33.066,147.228
50054,CONDOBOLIN (WORRONGORRAH),-33.103,146.847
50072,BOBADAH (THE GLEN),-32.367,146.783
50081,WOLLONGOUGH,-33.600,147.000
50103,WEST WYALONG AIRPORT,-33.938,147.190
50105,TRUNDLE (HUNTINGDALE),-32.898,147.782
50108,WILMATHA (WANGANUI),-32.572,147.216
50115,ALECTOWN (GOONAHRA),-32.857,148.258
50117,ALECTOWN (BRIDGEWATER),-32.895,148.281
51002,BELARINGAR STATION,-31.783,147.600
51004,TRANGIE (OLD BUNDEMAR),-31.809,148.158
51005,NARROMINE (MUMBLE PEG),-32.065,148.235
51008,WYANGA (QUAMBI),-32.458,148.149
51009,COMBOGOLONG,-30.400,148.150
51014,GULARGAMBONE (EMBY),-31.125,148.038
51015,WALGETT (EUROKA),-30.200,148.150
51016,NYNGAN (FAIRVIEW),-31.438,147.278
51017,HERMIDALE (GILGAI),-31.781,146.640
51018,GILGANDRA (CHELMSFORD AVE),-31.705,148.663
51019,GILGOIN,-30.300,147.200
51020,GIRILAMBONE (AMPOL),-31.251,146.904
51022,GULARGAMBONE (YALCOGRIN ST),-31.333,148.471
51023,SUMMERVALE (GUNDAUR),-31.433,147.000
51024,GUNNINGBAR,-31.683,147.650
51025,WARREN (HADDON RIG),-31.457,147.882
51028,NYNGAN (KALUGA),-31.517,147.383
51029,NYNGAN (MERRYANBONE),-31.433,147.433
51031,NYNGAN (CANONBAR),-31.640,147.316
51033,NYNGAN (MUDALL),-31.858,147.134
51035,MUNGERIBAR,-32.150,148.100
51037,NARROMINE (ALAGALAH ST),-32.244,148.245
51039,NYNGAN AIRPORT,-31.549,147.196
51045,TERIDGERIE POST OFFICE,-30.883,148.850
51046,THE GINGHET,-30.500,147.300
51048,TRANGIE POST OFFICE,-32.032,147.983
51049,TRANGIE RESEARCH STATION AWS,-31.986,147.949
51051,GILGANDRA (BERIDA),-31.650,148.450
51052,WARRUMBUNGLE (WALLA WALLA),-31.165,148.642
51055,CARINA (WILGA PARK),-30.383,147.967
51056,COONAMBLE (WINGADEE),-30.583,148.317
51059,WARRUMBUNGLE POST OFFICE,-31.250,148.800
51063,MULLENGUDGERY,-31.700,147.400
51066,EUMUNGERIE POST OFFICE,-31.949,148.618
51088,WARRUMBUNGLE (CHEDDINGTON),-31.263,148.867
51101,WILGAR DOWNS,-30.300,147.900
51114,LOHN (WARRIGAL),-31.600,147.417
51118,NYNGAN (THE PLAINS),-31.780,147.121
51133,WARRUMBUNGLE (MIAGUNYAH),-31.229,148.886
52000,MUNGINDI (WILGABAH),-29.245,148.852
52001,BURREN JUNCTION (HASTINGS STREET),-30.102,148.965
52007,COME BY CHANCE (BUNGLE GULLY),-30.333,148.467
52015,WALGETT (GOANGRA),-30.217,148.333
52016,GWABEGAR POST OFFICE,-30.609,148.972
52017,GARAH (BENGERANG),-29.080,149.506
52019,MOGIL MOGIL (BENIMORA),-29.354,148.690
52020,MUNGINDI POST OFFICE,-28.979,148.990
52021,ROWENA (BUNGARA),-29.845,149.005
52023,PILLIGA POST OFFICE,-30.352,148.884
52025,THE WILGAS,-29.700,148.500
52026,WALGETT COUNCIL DEPOT,-30.024,148.122
52028,ROWENA (WAROONGA),-29.750,148.942
52029,WEEMELAH BALARANG STREET,-29.015,149.255
52031,MUNGINDI (WONGWIE),-29.117,149.017
52033,PILLIGA (NIRVANA),-30.403,148.839
52088,WALGETT AIRPORT AWS,-30.037,148.122
53004,BOGGABILLA POST OFFICE,-28.602,150.360
53010,EDGEROI,-30.000,150.000
53011,GARAH POST OFFICE,-29.074,149.635
53012,GARRAH (WIRRINGULLA),-29.000,149.700
53014,GURLEY (GLENROY),-29.800,149.583
53022,WEE WAA AG. RES. STN.,-30.208,149.597
53029,MILGUY (MYEE),-29.417,150.233
53036,ROCKY GLEN (RAYAK),-31.067,149.583
53037,BINIGUY (SPRINGFIELD),-29.600,150.100
53041,TULLOONA (COOLANGA),-28.869,150.089
53042,GARAH (ULINGA),-28.901,149.540
53043,BUGALDIE (ULUNDI),-31.067,149.025
53044,WEE WAA (GEORGE ST),-30.226,149.445
53060,GARAH (WELBON),-29.133,149.733
53078,BOGGABILLA (BOONAL),-28.717,150.567
53085,GARAH (DELVIN),-28.966,149.672
53092,GOORIANAWAH,-31.100,149.000
53095,NORTH STAR (WOLONGA),-29.028,150.442
54004,BINGARA POST OFFICE,-29.867,150.571
54005,UPPER BINGARA (EMOHTA),-30.075,150.643
54013,DELUNGRA POST OFFICE,-29.654,150.829
54014,BINGARA (DERRA DERRA),-29.920,150.374
54016,DELUNGRA (CRAIGMORE),-29.441,150.786
54017,GRAVESEND POST OFFICE,-29.584,150.336
54019,BINGARA (LUCUNDA),-29.917,150.417
54023,BARRABA (NERANGHI),-30.295,150.810
54024,BARRABA (LOG CABIN),-30.429,150.530
54025,OTTLEY (GRAMAN),-29.300,150.800
54027,DELUNGRA (PEARSBY HALL),-29.558,150.887
54031,GRAMAN (WILLOWIE),-29.400,150.983
54032,COOLATAI (WILLUNGA),-29.202,150.608
54036,WALLANGRA (WALLANGRA STATION),-29.244,150.892
54039,BINGARA (KEERA),-29.994,150.781
54044,ASHFORD (TARRANGOWER),-29.297,151.148
54045,ASHFORD (SPRINGVALE),-29.341,151.289
54046,ASHFORD (BURRABOGIE),-29.399,151.411
54049,GRAMAN (ULUPNA),-29.405,150.901
54077,INVERELL (GLENDOWNE),-29.687,151.071
54082,KINGS PLAINS (CROYE),-29.638,151.405
54088,GRAGIN,-29.567,150.767
54105,BUNDARRA (GRANITE HEIGHTS),-30.335,150.934
54106,BINGARA (CROMARTY),-30.062,150.759
54117,COBBADAH (ROCKY GLEN),-30.224,150.723
54120,NARRABRI BOWLING CLUB,-30.322,149.782
55000,ATTUNGA (GARTHOWEN),-30.911,150.858
55007,BOGGABRI POST OFFICE,-30.706,150.046
55011,SOMERTON (GIRRAWEENA),-30.909,150.661
55016,DANGLEMAH (RUTHERGLEN),-30.996,151.229
55018,MULLALEY (GARRAWILLA),-31.171,149.646
55019,WALLABADAH (GASPARD),-31.483,150.833
55020,BOGGABRI (GHOOLENDAADI),-30.833,149.917
55021,MULLALEY (GOOLHI),-31.017,149.733
55023,GUNNEDAH POOL,-30.984,150.254
55024,GUNNEDAH RESOURCE CENTRE,-31.026,150.269
55025,WILLOW TREE (HIGHLANDS),-31.793,150.673
55033,BOGGABRI (MAYFIELD),-30.617,150.250
55034,BOGGABRI (MILCHENGOWRIE),-30.745,150.055
55037,PINE RIDGE (MOOKI SPRINGS),-31.508,150.399
55039,SPRING RIDGE,-31.395,150.249
55044,BOGGABRI (RETREAT),-30.704,150.277
55046,PINE RIDGE (BILLABONG),-31.529,150.436
55047,NIANGALA (PRESTWICK),-31.285,151.305
55053,TAMBAR SPRINGS POST OFFICE,-31.346,149.828
55056,WILLOW TREE (GREEN HILLS),-31.727,150.513
55063,WILLOW TREE (GENERAL STORE),-31.648,150.727
55064,PINE RIDGE (WINDY),-31.600,150.381
55067,GOONOO GOONOO STATION,-31.299,150.908
55069,YANNERGEE (DOBROYD),-31.449,150.025
55072,SPRING RIDGE,-31.400,150.200
55076,BOGGABRI (KANOWNDA),-30.512,150.212
55079,HANGING ROCK STATE FOREST,-31.468,151.256
55105,ATTUNGA (TARANA),-30.797,150.864
55109,BENDEMEER (GLENCLAIR),-30.799,151.109
55120,ATTUNGA (THE PINES),-30.931,150.787
55122,ATTUNGA (MINDEROO),-30.841,150.910
55140,SOMERTON (GLEN BURN),-31.010,150.713
55148,KOOTINGAL (GATE ST),-31.059,151.055
